wall_time_iso,elapsed_s,elapsed_hhmmss,mode,run_state,temp_s1_c,temp_s2_c,side_motor,top_motor_s1,top_motor_s2,message
2026-03-09T00:41:18,0.08,00:00:00,BOTH,RUNNING,25.049,24.982,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:19,1.12,00:00:01,BOTH,RUNNING,28.572,28.449,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:20,2.15,00:00:02,BOTH,RUNNING,30.928,30.938,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:21,3.21,00:00:03,BOTH,RUNNING,32.712,32.647,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:22,4.24,00:00:04,BOTH,RUNNING,33.806,33.844,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:23,5.25,00:00:05,BOTH,RUNNING,34.543,34.784,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:24,6.28,00:00:06,BOTH,RUNNING,35.110,35.300,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:25,7.30,00:00:07,BOTH,RUNNING,35.505,35.627,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:26,8.32,00:00:08,BOTH,RUNNING,35.847,35.851,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:27,9.33,00:00:09,BOTH,RUNNING,36.041,36.162,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:28,10.38,00:00:10,BOTH,RUNNING,36.173,36.181,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:29,11.41,00:00:11,BOTH,RUNNING,36.200,36.268,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:30,12.44,00:00:12,BOTH,RUNNING,36.330,36.249,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:31,13.46,00:00:13,BOTH,RUNNING,36.482,36.345,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:32,14.49,00:00:14,BOTH,RUNNING,36.489,36.370,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:33,15.52,00:00:15,BOTH,RUNNING,36.458,36.490,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:34,16.57,00:00:16,BOTH,RUNNING,36.583,36.399,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:35,17.62,00:00:17,BOTH,RUNNING,36.598,36.496,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:36,18.66,00:00:18,BOTH,RUNNING,36.496,36.478,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:37,19.71,00:00:19,BOTH,RUNNING,36.470,36.449,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:38,20.74,00:00:20,BOTH,RUNNING,36.549,36.574,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:39,21.75,00:00:21,BOTH,RUNNING,36.589,36.556,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:40,22.80,00:00:22,BOTH,RUNNING,36.396,36.503,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:41,23.83,00:00:23,BOTH,RUNNING,36.410,36.452,RUN,RUN,RUN,Test started (BOTH).
2026-03-09T00:41:42,24.87,00:00:24,BOTH,RUNNING,36.437,36.587,RUN,RUN,RUN,Test started (BOTH).
